barrio,sede
Doce de Octubre,Estación Metrocable El Progreso
Doce de Octubre,Pista de Patinaje 12 de Octubre
Robledo,Casa de Justicia de Robledo
Robledo,Institución Universitaria Pascual Bravo
Robledo,CVS Robledo – La Quintana (Cedezo La Quintana)
Robledo,Biblioteca Tomás Carrasquilla Centro de Salud San Camilo
Robledo,Estacion Metrocable 12 de Octubre (se trasladó de Casa de la Cultura Ávila)
Robledo,Centro de Servicios Robledo Inspección 7 A
Robledo,Cerro El Volador
Robledo,Parque de Robledo
Robledo,Parque La Pilarica
Robledo,Ampliación Parque La Pilarica
Robledo,Pista de patinaje La Quintana
Robledo,Placa Polideportiva Romeral
Robledo,Placa Polideportiva Don Bosco
Robledo,Parque la Cruz
Robledo,Cancha Pajarito
Villa Hermosa,Desarrollo Integral Las Estancias
Villa Hermosa,Ecoparque Esfuerzos de Paz – Las Tinajas
Villa Hermosa,Ecoparque Campo Santo de Villatina
Villa Hermosa,Centro de Salud Villatina
Villa Hermosa,CVS Villa Hermosa (CEDEZO La Ladera)
Villa Hermosa,Parque Principal Villa Hermosa
Villa Hermosa,Centro de Salud Llanaditas
Villa Hermosa,Plazoleta Estación Las Torres Metrocable (exterior)
Villa Hermosa,Plazoleta Estación Villa Sierra Metrocable (exterior)
Villa Hermosa,Parque la Batea del barrio Villatina
Villa Hermosa,Placa Cubierta La Sierra
Villa Hermosa,Plazoleta Trece de Noviembre
Villa Hermosa,Plazoleta Colinas de Enciso parte alta
Villa Hermosa,Cancha Polideportiva Sucre
Villa Hermosa,Cancha Polideportiva la Libertad
Villa Hermosa,Cancha La Mansión
Villa Hermosa,Gimnasio La Mansión
Buenos Aires,Parque La Milagrosa
Buenos Aires,Unidad Deportiva Miraflores
Buenos Aires,Unidad Deportiva Alejandro Echavarría
Buenos Aires,Inspección 9B
Buenos Aires,Estación Oriente Tranvía (interior)
Buenos Aires,Parque Cerro El Cristo Salvador
Buenos Aires,Parque Recreativo Barrios de Jesús
Buenos Aires,Parque Caunces de Oriente
Buenos Aires,Cancha Loreto (se traslada de Morro de Moravia)
Buenos Aires,Cancha la Esmeralda (Loreto)
Buenos Aires,Estación Metro Buenos Aires Tranvía – MTR (interior plataforma abordaje)
Buenos Aires,Placa Polideportiva la Pastora
Buenos Aires,Parque El Salvador
Buenos Aires,Cerro La Asomadera
Buenos Aires,El Hormiguero
Buenos Aires,Cancha de futbol Caunces de Oriente
La Candelaria,Centro de Integración Afrocolombiano
La Candelaria,Concejo de Medellín (Recinto)
La Candelaria,Banco de las oportunidades – Sótano Centro administrativo la Alpujarra / Parque Berrío
La Candelaria,Parque Bicentenario
La Candelaria,Parque Bolívar
La Candelaria,Parque de Los Pies Descalzos
La Candelaria,Parque San Antonio
La Candelaria,Plazoleta de Cisneros (Parque de las Luces)
La Candelaria,Plazoleta La Alpujarra (Centro Administrativo)
La Candelaria,Tesorería Municipal (Oficina CAM) Edificio Alcaldía – Piso 1
La Candelaria,Parque de Boston
La Candelaria,Parque del Periodista
La Candelaria,Plazuela San Ignacio
La Candelaria,Centro de Salud San Lorenzo
La Candelaria,Centro de Servicio al Ciudadano (CAM) Sótano Centro administrativo la Alpujarra
La Candelaria,Hospital General de Medellín
La Candelaria,Plaza Botero (Museo de Antioquia)
La Candelaria,Parque de la Vida (Centro)
La Candelaria,Inspección 10B
La Candelaria,Por mis derechos – Por una Vida Más Digna (Oficina La Candelaria)
La Candelaria,Estación Tranvía San Antonio – Plazoleta de Abordaje (exterior)
La Candelaria,Estación Metro Parque Berrío
La Candelaria,Estación Tranvía Pabellón del Agua EPM (exterior)
La Candelaria,Estación Hospital Metroplús (interior)
La Candelaria,Plaza Mayor – Plazoleta Interamericana
La Candelaria,Registraduría (Torres de Bomboná)
La Candelaria,La Playa (Teatro Pablo Tobón)
La Candelaria,Perpetuo Socorro
La Candelaria,Parque Obrero
La Candelaria,Estación Metro San Antonio 1 – MTR (interior plataforma abordaje linea A)
La Candelaria,Estación Metro San Antonio 2 – MTR (interior plataforma abordaje linea B)
La Candelaria,Estación Metro Parque Berrio – MTR (interior acceso torniquete Norte)
La Candelaria,Centro Comercial Medellín
La Candelaria,Pasaje Carabobo (Frente Iglesia Veracruz)
La Candelaria,Plazoleta Iglesia San José
La Candelaria,Centro Comercial Bazar San Antonio
La Candelaria,Parques del Río 1B Sur
La Candelaria,Parques del Río 1B Norte
La Candelaria,Pasaje La Bastilla x Av La Playa
La Candelaria,Parque República
Laureles Estadio,Coliseo de Voleibol Yesid Santos Unid. Deportiva Atanasio Girardot
Laureles Estadio,Coliseo de Combate Guillermo Gaviria Correa Unid. Deportiva Atanasio Girardot
Laureles Estadio,Coliseo de Gimnasia Jorge Hugo Giraldo Unid. Deportiva Atanasio Girardot
Laureles Estadio,Coliseo Iván de Bedout Unid. Deportiva Atanasio Girardot
Laureles Estadio,Complejo Acuático Unid. Deportiva Atanasio Girardot
Laureles Estadio,Pista de Atletismo Alfonso Galvis Unid. Deportiva Atanasio Girardot
Laureles Estadio,Plazoleta de Banderas Unid. Deportiva Atanasio Girardot
Laureles Estadio,Diamante de Béisbol Luis Alberto Villegas Unid. Deportiva Atanasio Girardot
Laureles Estadio,Centro de Servicios El Estadio
Laureles Estadio,Centro de Integración Comuna 11 (Casa Betancur)
Laureles Estadio,Mall Laureles
Laureles Estadio,Parque Amisura
Laureles Estadio,Parque Cancha Grande San Joaquín
Laureles Estadio,Parque 4 Vientos (Los Colores)
Laureles Estadio,Parque El Emperador
Laureles Estadio,Parque El Triángulo (Conquistadores)
Laureles Estadio,Parque La Castellana
Laureles Estadio,Parque La Matea
Laureles Estadio,Parque Lourdes
Laureles Estadio,Parque Pinocho
Laureles Estadio,Parque Plan Parcial Invatex
Laureles Estadio,Parque Unicentro
