comuna,barrio,sede
Comuna 10,La Candelaria,Tesorería Municipal (Oficina CAM) Edificio Alcaldía – Piso 1
Comuna 10,La Candelaria,Parque de Boston
Comuna 10,La Candelaria,Parque del Periodista
Comuna 10,La Candelaria,Plazuela San Ignacio
Comuna 10,La Candelaria,Centro de Salud San Lorenzo
Comuna 10,La Candelaria,Centro de Servicio al Ciudadano (CAM) Sótano Centro administrativo la Alpujarra
Comuna 10,La Candelaria,Hospital General de Medellín
Comuna 10,La Candelaria,Plaza Botero (Museo de Antioquia)
Comuna 10,La Candelaria,Parque de la Vida (Centro)
Comuna 10,La Candelaria,Inspección 10B
Comuna 10,La Candelaria,Por mis derechos – Por una Vida Más Digna (Oficina La Candelaria)
Comuna 10,La Candelaria,Estación Tranvía San Antonio – Plazoleta de Abordaje (exterior)
Comuna 10,La Candelaria,Estación Metro Parque Berrío
Comuna 10,La Candelaria,Estación Tranvía Pabellón del Agua EPM (exterior)
Comuna 10,La Candelaria,Estación Hospital Metroplús (interior)
Comuna 10,La Candelaria,Plaza Mayor – Plazoleta Interamericana
Comuna 10,La Candelaria,Registraduría (Torres de Bomboná)
Comuna 10,La Candelaria,La Playa (Teatro Pablo Tobón)
Comuna 10,La Candelaria,Perpetuo Socorro
Comuna 10,La Candelaria,Parque Obrero
Comuna 10,La Candelaria,Estación Metro San Antonio 1 – MTR (interior plataforma abordaje linea A)
Comuna 10,La Candelaria,Estación Metro San Antonio 2 – MTR (interior plataforma abordaje linea B)
Comuna 10,La Candelaria,Estación Metro Parque Berrio – MTR (interior acceso torniquete Norte)
Comuna 10,La Candelaria,Centro Comercial Medellín
Comuna 10,La Candelaria,Pasaje Carabobo (Frente Iglesia Veracruz)
Comuna 10,La Candelaria,Plazoleta Iglesia San José
Comuna 10,La Candelaria,Centro Comercial Bazar San Antonio
Comuna 10,La Candelaria,Parques del Río 1B Sur
Comuna 10,La Candelaria,Parques del Río 1B Norte
Comuna 10,La Candelaria,Pasaje La Bastilla x Av La Playa
Comuna 10,La Candelaria,Parque República
Comuna 11,Laureles Estadio,Coliseo de Voleibol Yesid Santos Unid. Deportiva Atanasio Girardot
Comuna 11,Laureles Estadio,Coliseo de Combate Guillermo Gaviria Correa Unid. Deportiva Atanasio Girardot
Comuna 11,Laureles Estadio,Coliseo de Gimnasia Jorge Hugo Giraldo Unid. Deportiva Atanasio Girardot
Comuna 11,Laureles Estadio,Coliseo Iván de Bedout Unid. Deportiva Atanasio Girardot
Comuna 11,Laureles Estadio,Complejo Acuático Unid. Deportiva Atanasio Girardot
Comuna 11,Laureles Estadio,Pista de Atletismo Alfonso Galvis Unid. Deportiva Atanasio Girardot
Comuna 11,Laureles Estadio,Plazoleta de Banderas Unid. Deportiva Atanasio Girardot
Comuna 11,Laureles Estadio,Diamante de Béisbol Luis Alberto Villegas Unid. Deportiva Atanasio Girardot
Comuna 11,Laureles Estadio,Centro de Servicios El Estadio
Comuna 11,Laureles Estadio,Centro de Integración Comuna 11 (Casa Betancur)
Comuna 11,Laureles Estadio,Mall Laureles
Comuna 11,Laureles Estadio,Parque Amisura
Comuna 11,Laureles Estadio,Parque Cancha Grande San Joaquín
Comuna 11,Laureles Estadio,Parque 4 Vientos (Los Colores)
Comuna 11,Laureles Estadio,Parque El Emperador
Comuna 11,Laureles Estadio,Parque El Triángulo (Conquistadores)
Comuna 11,Laureles Estadio,Parque La Castellana
Comuna 11,Laureles Estadio,Parque La Matea
Comuna 11,Laureles Estadio,Parque Lourdes
Comuna 11,Laureles Estadio,Parque Pinocho
Comuna 11,Laureles Estadio,Parque Plan Parcial Invatex
Comuna 11,Laureles Estadio,Parque Unicentro
Comuna 11,Laureles Estadio,Plazuela Carlos E. Restrepo
Comuna 11,Laureles Estadio,Primer Parque de Laureles
Comuna 11,Laureles Estadio,Parque Suramericana Alta
Comuna 11,Laureles Estadio,Plazoleta Estación Metro Suramericana (exterior)
Comuna 11,Laureles Estadio,Plazoleta Estación Metro Estadio (exterior)
Comuna 11,Laureles Estadio,Ampliación Estación Estadio Plazoleta (exterior)
Comuna 11,Laureles Estadio,Parques del Río
Comuna 12,La América,Casa de la Cultura Los Alcázares
Comuna 12,La América,Mascerca La Floresta
Comuna 12,La América,Parque del Ajedrez
Comuna 12,La América,Unidad Deportiva Barrio Cristóbal
Comuna 12,La América,Zona Verde Recreacional La Arboleda
Comuna 12,La América,Parque Principal La Floresta
Comuna 12,La América,CAV La América
Comuna 12,La América,Centro de Salud Santa Rosa de Lima
Comuna 12,La América,Aula Ambiental Plaza La América
Comuna 12,La América,Placa PoliDeportiva La Cristóbal
Comuna 12,La América,Parque Campo Alegre (La Jota)
Comuna 12,La América,Parque Los Tanques
Comuna 12,La América,Estación Metro Santa Lucía (exterior)
Comuna 12,La América,Parque El Manicomio
Comuna 12,La América,Parque Infantil Colinas de Calasanz
Comuna 12,La América,Unidad Deportiva La Floresta
Comuna 12,La América,Cancha sintética Santa Lucia
Comuna 13,San Javier,CAV Belencito
Comuna 13,San Javier,Unidad Deportiva Antonio Nariño
Comuna 13,San Javier,Casa de Justicia 20 de Julio
Comuna 13,San Javier,UPSS San Javier
Comuna 13,San Javier,Centro de Salud La Esperanza
Comuna 13,San Javier,Centro de Salud Manantial de Vida
Comuna 13,San Javier,Centro de Salud La Quiebra
Comuna 13,San Javier,Centro de Salud Villa Laura
Comuna 13,San Javier,Placa Polideportiva La Loma
Comuna 13,San Javier,Plazoleta Estación Metro San Javier B (exterior)
Comuna 13,San Javier,Estacion San Javier (Metrocable J) (interior)
Comuna 13,San Javier,Escaleras Eléctricas (Viaducto)
Comuna 13,San Javier,Escaleras Eléctricas (Tramos 4 5 Y 6)
Comuna 13,San Javier,Centralidad El Pesebre
Comuna 13,San Javier,CVS San Javier
Comuna 13,San Javier,Placa PoliDeportiva Blanquizal
Comuna 13,San Javier,Desarrollo Integral el Socorro
Comuna 13,San Javier,Placa PoliDeportiva Metropolitano
Comuna 13,San Javier,Viaducto Tramo Dos
Comuna 13,San Javier,Cancha La Campiña Pradera Baja
Comuna 13,San Javier,Viaducto tramo 2 parte alta
Comuna 13,San Javier,Cancha Belencito Betania
Comuna 13,San Javier,Iglesia Madre Redentor
Comuna 13,San Javier,Parque La paz
Comuna 13,San Javier,Parque Villa del Socorro
Comuna 13,San Javier,CAI Salado
Comuna 13,San Javier,Desarrollo integral Salado
Comuna 13,San Javier,Gimnasio El Salado
Comuna 13,San Javier,Iglesia San José P1
Comuna 13,San Javier,Iglesia San José P2
Comuna 13,San Javier,Cancha Fuente Clara
Comuna 14,El Poblado,Plazoleta Y Parque Cultural Del Mamm
Comuna 14,El Poblado,Plazoleta Estación Metro Poblado (exterior)
Comuna 14,El Poblado,Parque El Poblado
Comuna 14,El Poblado,Mascerca Poblado
Comuna 14,El Poblado,Parque Lleras
Comuna 14,El Poblado,Plazoleta Estación Metro Industriales (exterior)
Comuna 14,El Poblado,Estación Metro Poblado
Comuna 14,El Poblado,Canal Parque Telemedellín
Comuna 14,El Poblado,Parque Lineal Ciudad Del Río
Comuna 14,El Poblado,Ruta De La Memoria – Parque Memorial De Inflexion
Comuna 14,El Poblado,Estación Metro Aguacatala – MTR Estación Aguacatala
Comuna 14,El Poblado,Parque La Presidenta
Comuna 14,El Poblado,Cancha Polideportiva divina eucaristía
Comuna 15,Guayabal,Parque de Cristo Rey
Comuna 15,Guayabal,Aeroparque Juan Pablo Segundo
Comuna 15,Guayabal,Unidad Deportiva María Luisa
Comuna 15,Guayabal,Coliseo Carlos Mauro Hoyos
Comuna 15,Guayabal,Terminal del Sur
Comuna 15,Guayabal,Plazoleta Estación Metroplus Industriales (exterior)
Comuna 15,Guayabal,Mascerca Guayabal
Comuna 15,Guayabal,Centro de Salud Guayabal
Comuna 15,Guayabal,Unidad Deportiva Campo Amor
Comuna 15,Guayabal,Estación Metroplus Industriales L1 (interior plataforma abordaje)
Comuna 15,Guayabal,Plaza Gardel – Aeropuerto Olaya Herrera
Comuna 15,Guayabal,Placa PoliDeportiva Trinidad
Comuna 15,Guayabal,Parque Manzanares
Comuna 15,Guayabal,Parque De Ruedas 4 Sur
Comuna 15,Guayabal,Parque San Pablo
Comuna 15,Guayabal,Cancha Trinidad
Comuna 15,Guayabal,Biblioteca Manuel Mejia Vallejo
Comuna 16,Belén,Cerro Nutibara (Terraza pueblito paisa) Reubicado
Comuna 16,Belén,Pista de Bicicross Antonio Roldán Betancur
Comuna 16,Belén,Tiro Con Arco Unidad Deportiva Andrés Escobar
Comuna 16,Belén,Bolera Unidad Deportiva Andrés Escobar
Comuna 16,Belén,Desarrollo Integral Belén Zafra
Comuna 16,Belén,UPSS Belén
Comuna 16,Belén,CVS Belen (CEDEZO Belén)
Comuna 16,Belén,Parque Biblioteca de Belén / Centro de Salud Belén Rincón
Comuna 16,Belén,Parque Belén
Comuna 16,Belén,Mascerca Belén
Comuna 16,Belén,Desarrollo Integral Belén Rincón
Comuna 16,Belén,Parque Principal Belén Los Alpes
Comuna 16,Belén,Cancha de Fútbol Arenilla Buena Vista
Comuna 16,Belén,Parque Quimbaya
Comuna 16,Belén,Cancha Las Violetas
Comuna 16,Belén,Cancha polideportiva Belén las playas
Comuna 16,Belén,Cancha Polideportiva Belen Los Alpes
Comuna 16,Belén,Parque Infantil Al Frente Entrada 4 Udem
Comuna 16,Belén,Parque La Mota
Comuna 16,Belén,Parque De Belen La Nubia
Comuna 16,Belén,Cancha arenilla Altavista
Comuna 16,Belén,Pueblito Paisa
Comuna 16,Belén,Parque Malibu
Comuna 16,Belén,Parque la Chinca – San Carlos
Comuna 16,Belén,Parque San José de la Montaña
Comuna 50,San Sebastián de Palmitas,Casa de Gobierno San Sebastián de Palmitas
Comuna 50,San Sebastián de Palmitas,Centralidad Vereda La Suiza
Comuna 50,San Sebastián de Palmitas,Parque San Sebastián de Palmitas
Comuna 50,San Sebastián de Palmitas,Placa Polideportiva Vereda La Aldea
Comuna 60,San Cristóbal,Casa de Gobierno San Cristóbal
Comuna 60,San Cristóbal,Exteriores Ludoteca Casa San Martín
Comuna 60,San Cristóbal,UPSS Nuevo Occidente
Comuna 60,San Cristóbal,CVS San Cristóbal
Comuna 60,San Cristóbal,UPSS San Cristóbal
Comuna 60,San Cristóbal,Centro de Servicios Nuevo Occidente (Casa Lusitania)
Comuna 60,San Cristóbal,Centro de Salud La Loma
Comuna 60,San Cristóbal,Cancha Jose Betancur
Comuna 60,San Cristóbal,Plazoleta Estación Metrocable La Aurora (exterior)
Comuna 60,San Cristóbal,Unidad Deportiva San Cristóbal
Comuna 60,San Cristóbal,Ruta De La Memoria – Plazoleta Villa Suramericana (Frente La Aurora)
Comuna 60,San Cristóbal,Parque Principal San Cristóbal
Comuna 60,San Cristóbal,Placa la Ilusión
Comuna 70,Altavista,Casa de Gobierno Altavista
Comuna 70,Altavista,Parque Principal de Altavista
Comuna 70,Altavista,Cancha de Arena El Manzanillo
Comuna 70,Altavista,La Esperanza
Comuna 70,Altavista,Placa PoliDeportiva Los Tanques
Comuna 70,Altavista,Placa de Arenilla Aguas Frías
Comuna 70,Altavista,Cancha Aguas Frías Parte Alta
Comuna 80,San Antonio de Prado,Casa de Gobierno San Antonio de Prado
Comuna 80,San Antonio de Prado,CVS San Antonio de Prado (cedezo San Antonio de Prado)
Comuna 80,San Antonio de Prado,Biblioteca José Horacio Betancur Parque principal San Antonio de Prado
Comuna 80,San Antonio de Prado,Corregiduría El Limonar
Comuna 80,San Antonio de Prado,Cancha Sintética Horizontes
Comuna 80,San Antonio de Prado,Zona Verde El Limonar No. 2
Comuna 80,San Antonio de Prado,Placa Polideportiva Montañita
Comuna 80,San Antonio de Prado,Placa polideportiva potrerito
Comuna 90,Santa Elena,Casa de Gobierno Santa Elena
Comuna 90,Santa Elena,Parque Santa Elena
Comuna 90,Santa Elena,Plazoleta Estación Metrocable Parque Arví (exterior)
Comuna 90,Santa Elena,Piedras Blancas
Comuna 90,Santa Elena,Parque Arví – Centro Ambiental y Cultural Parque Arví
Comuna 90,Santa Elena,@Medellín – Sapiencia Centralidad Mazo
Comuna 90,Santa Elena,Bello Oriente (Sector Palomar)
Comuna 90,Santa Elena,El Tambo
Comuna 90,Santa Elena,Fuerte de Carabineros
