comuna,barrio,sede
5,Castilla,Plazoleta Estación Metro Caribe (exterior cancha Polideportiva Moravia Caribe)
5,Castilla,Estación Metro Acevedo (interior)
5,Castilla,Ampliacion 1 Estación Metro Caribe Costado Norte (exterior torniquetes)
5,Castilla,Ampliacion 2 Estación Metro Caribe Costado Sur (exterior torniquetes)
5,Castilla,Cancha Alfonso López
5,Castilla,Cancha polideportiva Boyacá (se traslada de Pista de BMX Mariana Pajón)
5,Castilla,Placa Polideportiva Brisas del Norte
5,Castilla,Cancha de Fútbol Boyacá
5,Castilla,Placa polideportiva La Playita
5,Castilla,Parque Alfonso López
5,Castilla,Parque las Brisas
5,Castilla,Parque las Iguanas
5,Castilla,Tricentenario-Parque de Banderas
5,Castilla,Parque Iglesia Tricentenario
5,Castilla,Parque La Torre Belalcázar
5,Castilla,Parque de los abuelos
5,Castilla,Huerta de Vilma
5,Castilla,Parque sendero de la orquídeas
5,Castilla,Parque Skate Castilla
5,Castilla,Parque Israel Florencia
5,Castilla,Parque Gratamira
5,Castilla,CVS Castilla
6,Doce de Octubre,Unidad Deportiva Doce de Octubre
6,Doce de Octubre,Centralidad Deportiva El Progreso N°2
6,Doce de Octubre,Teatro al Aire Libre y Parque El Pedregal
6,Doce de Octubre,UPSS Doce de Octubre
6,Doce de Octubre,Parque Kennedy
6,Doce de Octubre,Casa de La Cultura Pedregal
6,Doce de Octubre,Centro de Salud Picachito
6,Doce de Octubre,Inspección N°6 Doce de Octubre
6,Doce de Octubre,Parque deportivo y recreativo La Tinajita
6,Doce de Octubre,Cancha Sintética La Maracaná
6,Doce de Octubre,Cancha Sintética el Polvorín
6,Doce de Octubre,Placa Polideportiva los Lotes
6,Doce de Octubre,Parque los Jubilados
6,Doce de Octubre,Estación Metrocable El Progreso
6,Doce de Octubre,Pista de Patinaje 12 de Octubre
7,Robledo,Casa de Justicia de Robledo
7,Robledo,Institución Universitaria Pascual Bravo
7,Robledo,CVS Robledo – La Quintana (Cedezo La Quintana)
7,Robledo,Biblioteca Tomás Carrasquilla Centro de Salud San Camilo
7,Robledo,Estacion Metrocable 12 de Octubre (se trasladó de Casa de la Cultura Ávila)
7,Robledo,Centro de Servicios Robledo Inspección 7 A
7,Robledo,Cerro El Volador
7,Robledo,Parque de Robledo
7,Robledo,Parque La Pilarica
7,Robledo,Ampliación Parque La Pilarica
7,Robledo,Pista de patinaje La Quintana
7,Robledo,Placa Polideportiva Romeral
7,Robledo,Placa Polideportiva Don Bosco
7,Robledo,Parque la Cruz
7,Robledo,Cancha Pajarito
8,Villa Hermosa,Desarrollo Integral Las Estancias
8,Villa Hermosa,Ecoparque Esfuerzos de Paz – Las Tinajas
8,Villa Hermosa,Ecoparque Campo Santo de Villatina
8,Villa Hermosa,Centro de Salud Villatina
8,Villa Hermosa,CVS Villa Hermosa (CEDEZO La Ladera)
8,Villa Hermosa,Parque Principal Villa Hermosa
8,Villa Hermosa,Centro de Salud Llanaditas
8,Villa Hermosa,Plazoleta Estación Las Torres Metrocable (exterior)
8,Villa Hermosa,Plazoleta Estación Villa Sierra Metrocable (exterior)
8,Villa Hermosa,Parque la Batea del barrio Villatina
8,Villa Hermosa,Placa Cubierta La Sierra
8,Villa Hermosa,Plazoleta Trece de Noviembre
8,Villa Hermosa,Plazoleta Colinas de Enciso parte alta
8,Villa Hermosa,Cancha Polideportiva Sucre
8,Villa Hermosa,Cancha Polideportiva la Libertad
8,Villa Hermosa,Cancha La Mansión
8,Villa Hermosa,Gimnasio La Mansión
9,Buenos Aires,Parque La Milagrosa
9,Buenos Aires,Unidad Deportiva Miraflores
9,Buenos Aires,Unidad Deportiva Alejandro Echavarría
9,Buenos Aires,Inspección 9B
9,Buenos Aires,Estación Oriente Tranvía (interior)
9,Buenos Aires,Parque Cerro El Cristo Salvador
9,Buenos Aires,Parque Recreativo Barrios de Jesús
9,Buenos Aires,Parque Caunces de Oriente
9,Buenos Aires,Cancha Loreto (se traslada de Morro de Moravia)
9,Buenos Aires,Cancha la Esmeralda (Loreto)
9,Buenos Aires,Estación Metro Buenos Aires Tranvía – MTR (interior plataforma abordaje)
9,Buenos Aires,Placa Polideportiva la Pastora
9,Buenos Aires,Parque El Salvador
9,Buenos Aires,Cerro La Asomadera
9,Buenos Aires,El Hormiguero
9,Buenos Aires,Cancha de futbol Caunces de Oriente
10,La Candelaria,Centro de Integración Afrocolombiano
10,La Candelaria,Concejo de Medellín (Recinto)
10,La Candelaria,Banco de las oportunidades – Sótano Centro administrativo la Alpujarra / Parque Berrío
10,La Candelaria,Parque Bicentenario
10,La Candelaria,Parque Bolívar
10,La Candelaria,Parque de Los Pies Descalzos
10,La Candelaria,Parque San Antonio
10,La Candelaria,Plazoleta de Cisneros (Parque de las Luces)
10,La Candelaria,Plazoleta La Alpujarra (Centro Administrativo)
10,La Candelaria,Tesorería Municipal (Oficina CAM) Edificio Alcaldía – Piso 1
10,La Candelaria,Parque de Boston
10,La Candelaria,Parque del Periodista
10,La Candelaria,Plazuela San Ignacio
10,La Candelaria,Centro de Salud San Lorenzo
10,La Candelaria,Centro de Servicio al Ciudadano (CAM) Sótano Centro administrativo la Alpujarra
10,La Candelaria,Hospital General de Medellín
