Sedes,Autenticación_Correo,Autenticación_Facebook,Autenticación_Googleplus,Autenticación_Linkedin,Autenticación_Twitter,Rango_edad_desconocido,Rango_edad_De_14_a_17_Años,Rango_edad_De_18_a_28_Años,Rango_edad_De_29_a_50_Años,Rango_edad_Mayor_de_50_Años,Rango_edad_Menor_de_13_Años,Dispositivo_conexión_Computadora_personal,Dispositivo_conexión_Smartphone,Dispositivo_conexión_Tablet,Género_desconocido,Sexo_Femenino,Sexo_Masculino,Género_Otro,Mes,Año
CEDEZO La Ladera,936,132,14,0,3,626,38,201,216,4,0,2,1076,7,541,105,435,4,Enero,2019.0
Cedezo La Quintana,1016,235,0,0,0,765,47,296,131,9,3,2,1248,1,609,197,422,23,Enero,2019.0
CEDEZO Manrique,1002,95,0,0,5,583,9,311,190,8,1,3,1099,0,506,382,207,7,Enero,2019.0
Cedezo San Antonio De Prado,281,51,0,0,0,224,4,87,16,1,0,0,332,0,178,113,40,1,Enero,2019.0
CEDEZO San Cristóbal,1109,50,5,0,0,592,86,165,282,6,33,44,1115,5,666,224,273,1,Enero,2019.0
CEDEZO San Javier,1666,356,1,0,15,1238,63,452,230,38,17,83,1945,10,975,434,608,21,Enero,2019.0
CEDEZO Santa Cruz,3197,171,1,0,0,1722,342,897,336,20,52,53,3307,9,1963,549,856,1,Enero,2019.0
CEDEZO Santo Domingo,1775,617,0,0,0,1449,228,526,156,27,6,103,2287,2,1229,480,671,12,Enero,2019.0
Centralidad Deportiva El Progreso N°2,4773,803,0,0,35,3244,369,1212,613,127,46,38,5534,39,2951,981,1671,8,Enero,2019.0
Centralidad El Pesebre,1620,145,0,0,0,933,200,467,131,16,18,10,1744,11,1012,275,473,5,Enero,2019.0
Centralidad Vereda La Suiza,1471,1063,9,0,0,1611,212,357,247,79,37,29,2498,16,806,744,991,2,Enero,2019.0
Centro Cultural De Moravia,4393,531,13,0,9,2751,351,1230,476,47,91,37,4828,81,2771,877,1289,9,Enero,2019.0
Centro Cultural Los Colores,227,12,0,0,11,153,2,49,39,7,0,1,248,1,143,39,68,0,Enero,2019.0
Centro De Integración Afrocolombiano,1705,138,0,35,0,584,208,496,475,69,46,336,1540,2,703,357,786,32,Enero,2019.0
Centro de Integración Comuna 11 (Casa Betancur),181,2,0,0,0,110,4,26,18,25,0,20,163,0,112,23,47,1,Enero,2019.0
Centro De Salud Alfonso López,1125,170,1,0,2,787,63,253,142,49,4,5,1292,1,743,323,225,7,Enero,2019.0
Centro De Salud Belén Rincón,869,110,2,0,0,540,53,179,202,4,3,9,960,12,488,203,290,0,Enero,2019.0
Centro De Salud Carpinelo,869,57,16,0,0,535,64,205,98,13,27,3,893,46,566,234,140,2,Enero,2019.0
Centro De Salud El Raizal,1159,247,0,0,0,747,37,398,196,25,3,4,1359,43,554,563,283,6,Enero,2019.0
Centro De Salud Guayabal,1077,185,0,0,0,606,19,284,291,59,3,2,1259,1,472,314,475,1,Enero,2019.0
Centro De Salud La Cruz,154,28,0,0,0,114,9,42,13,3,1,1,181,0,97,60,24,1,Enero,2019.0
Centro De Salud La Esperanza,2344,404,6,0,0,1603,160,697,252,10,32,22,2695,37,1419,682,652,1,Enero,2019.0
Centro De Salud La Loma,451,84,0,0,0,267,3,76,182,2,5,3,532,0,192,221,122,0,Enero,2019.0
Centro De Salud La Quiebra,1421,450,0,0,2,1075,56,485,174,77,6,16,1846,11,703,620,548,2,Enero,2019.0
Centro De Salud Llanaditas,727,91,0,0,0,456,30,177,92,59,4,4,812,2,407,286,125,0,Enero,2019.0
Centro De Salud Manantial De Vida,2571,425,0,0,0,1623,287,800,247,2,37,35,2942,19,1584,773,633,6,Enero,2019.0
Centro de Salud Pablo VI,1190,88,0,0,0,672,118,237,182,11,58,48,1190,40,770,283,225,0,Enero,2019.0
Centro De Salud Picachito,1752,820,0,0,0,1563,132,578,194,99,6,27,2538,7,948,513,1109,2,Enero,2019.0
Centro De Salud Popular 1,199,7,0,0,0,120,11,51,24,0,0,1,202,3,129,61,16,0,Enero,2019.0
Centro De Salud San Blas,1659,70,0,0,0,773,81,403,448,17,7,8,1715,6,811,769,140,9,Enero,2019.0
Centro De Salud San Camilo,624,98,0,0,72,440,21,117,211,5,0,0,794,0,316,431,46,1,Enero,2019.0
Centro De Salud San Lorenzo,1209,341,0,0,0,907,170,170,270,21,12,15,1447,88,774,496,276,4,Enero,2019.0
Centro De Salud Santo Domingo Savio,4522,315,0,0,23,2358,255,1325,833,76,13,3,4840,17,2348,1127,1375,10,Enero,2019.0
Centro De Salud Villa Laura,1036,144,0,0,0,630,42,203,205,99,1,23,1078,79,534,479,166,1,Enero,2019.0
Centro De Salud Villatina,1465,155,0,0,0,677,86,726,95,36,0,81,1539,0,609,327,682,2,Enero,2019.0
Centro De Salud Santa Rosa De Lima,604,7,0,0,0,357,7,80,154,12,1,1,609,1,362,125,122,2,Enero,2019.0
Centro de Servicio al Ciudadano (CAM),4973,180,8,0,2,1862,50,1672,1413,157,9,102,5053,8,1771,2094,1289,9,Enero,2019.0
Centro De Servicios El Estadio,1320,147,2,0,0,799,34,389,214,30,3,3,1458,8,696,393,378,2,Enero,2019.0
Centro De Servicios Robledo,428,122,14,0,0,282,38,185,56,1,2,0,564,0,200,208,154,2,Enero,2019.0
Cerro El Volador,1569,86,1,0,0,782,46,468,336,21,3,1,1649,6,755,184,712,5,Enero,2019.0
Cerro Nutibara,1729,53,1,0,0,936,124,410,281,29,3,2,1771,10,1035,372,370,6,Enero,2019.0
Coliseo Andalucía,5087,567,2,1,0,3103,511,1537,423,29,54,8,5617,32,3252,809,1588,8,Enero,2019.0
Coliseo Carlos Mauro Hoyos,1319,254,8,0,0,764,90,413,308,4,2,12,1569,0,647,261,668,5,Enero,2019.0
Coliseo De Combate Guillermo Gaviria Correa,4621,591,27,0,11,3117,246,1273,504,36,74,37,5182,31,2892,692,1629,37,Enero,2019.0
Coliseo De Gimnasia Jorge Hugo Giraldo,2220,264,0,0,2,1099,195,486,610,42,54,81,2377,28,1123,769,573,21,Enero,2019.0
Coliseo Iván De Bedout,3997,225,1,0,0,1941,483,1090,565,56,88,69,4138,16,2323,825,1047,28,Enero,2019.0
Coliseo Voleibol Yesid Santos,2211,228,10,0,0,1073,262,594,378,50,92,26,2403,20,1205,595,643,6,Enero,2019.0
Complejo Acuático,3720,275,6,0,4,2028,222,729,917,83,26,96,3895,14,2015,1105,870,15,Enero,2019.0
Concejo De Medellín (Recinto),1028,66,0,0,1,704,21,176,170,21,3,4,1089,2,673,197,223,2,Enero,2019.0
Corregiduría El Limonar,652,6,0,0,0,176,116,86,245,33,2,13,644,1,289,188,181,0,Enero,2019.0
Desarrollo Integral Belén Rincón,3381,258,1,0,0,2049,238,851,438,38,26,5,3613,22,2097,438,1103,2,Enero,2019.0
Desarrollo Integral Belén Zafra,2108,310,1,0,0,1243,271,510,341,34,20,2,2387,30,1275,453,681,10,Enero,2019.0
Desarrollo Integral el Socorro,1765,264,0,0,0,1212,73,491,232,16,5,5,2018,6,1089,393,544,3,Enero,2019.0
Desarrollo Integral Las Estancias,2304,403,10,0,0,1553,129,710,310,4,11,9,2677,31,1390,424,892,11,Enero,2019.0
Diamante De Béisbol Luis Alberto Villegas,1721,126,2,0,0,626,113,574,413,91,32,80,1758,11,677,414,757,1,Enero,2019.0
Ecoparque Campo Santo,2096,494,2,0,0,1627,96,666,155,13,35,9,2580,3,1316,372,888,16,Enero,2019.0
Ecoparque Esfuerzos De Paz - Las Tinajas,3646,1071,49,0,3,2777,570,1139,238,17,28,22,4702,45,2447,720,1589,13,Enero,2019.0
El Tambo,1282,294,0,0,1,1004,83,343,122,14,11,8,1567,2,817,473,281,6,Enero,2019.0
"Escaleras Eléctricas (Tramos 1, 2 Y 3)",1854,272,0,0,0,857,228,797,225,2,17,15,2053,58,915,661,547,3,Enero,2019.0
"Escaleras Eléctricas (Tramos 4, 5 Y 6)",2018,376,0,0,0,1298,165,662,254,8,7,6,2379,9,1132,475,777,10,Enero,2019.0
Escaleras Eléctricas Comuna 13 (Viaducto),1361,208,0,0,0,522,280,541,218,5,3,38,1525,6,600,478,480,11,Enero,2019.0
Estación Acevedo (Metro),8928,347,4,0,1,7164,157,1094,816,38,11,74,9166,40,7034,976,1264,6,Enero,2019.0
Estación Caribe Costado Norte (Metro),3760,173,6,0,0,2982,57,624,250,15,11,4,3921,14,2911,465,560,3,Enero,2019.0
Estación Caribe Costado Sur (Metro),2206,223,0,0,0,1890,26,353,143,15,2,0,2427,2,1714,291,419,5,Enero,2019.0
Estación Caribe Parque (Metro),3496,382,23,0,23,1980,410,853,343,143,195,333,3582,9,2202,591,1117,14,Enero,2019.0
Estación Estadio (Metro),4772,321,3,0,2,3597,99,861,495,34,12,4,5077,17,3433,559,1093,13,Enero,2019.0
Estación Gardel (Metroplús),6645,530,4,0,5,4910,143,1279,817,32,3,3,7113,68,4574,1096,1494,20,Enero,2019.0
Estación Hospital (Metroplús),9780,396,28,0,12,8576,70,1071,437,36,26,8,10195,13,8280,638,1287,11,Enero,2019.0
Estación Industriales L1 (Metroplús),5920,180,6,0,1,5255,43,535,247,27,0,6,6092,9,5157,406,536,8,Enero,2019.0
Estación Las Torres (Metrocable),2634,747,1,0,1,2165,160,816,178,12,52,87,3251,45,1719,425,1233,6,Enero,2019.0
Estación Oriente (Tranvía),10237,653,6,0,4,8462,166,1546,652,65,9,22,10771,107,8036,980,1863,21,Enero,2019.0
Estación Pabellón del Agua EPM (Tranvía),2269,316,5,0,1,1734,64,452,296,39,6,24,2558,9,1501,268,818,4,Enero,2019.0
Estación Parque Berrio (Metro),2563,222,1,0,1,1843,62,509,315,57,1,9,2772,6,1719,339,726,3,Enero,2019.0
Estación Poblado (Metro),4355,180,3,0,3,3539,53,602,314,25,8,12,4514,15,3441,435,655,10,Enero,2019.0
Estación San Antonio - Plazoleta De Abordaje (Tranvía),11702,690,13,0,5,9769,146,1634,782,60,19,10,12372,28,9287,988,2107,28,Enero,2019.0
Estación San Javier B (Metro),9183,539,3,0,2,7119,180,1584,764,62,18,8,9680,39,6885,1103,1713,26,Enero,2019.0
Estación San Javier J (Metrocable),5383,136,5,0,1,4339,113,683,333,36,21,79,5443,3,4354,464,675,32,Enero,2019.0
Estación Suramericana (Metro),4104,291,5,0,0,3245,59,678,388,22,8,4,4390,6,3054,411,920,15,Enero,2019.0
Estación Universidad (Metro),4758,766,2,0,2,4328,99,760,326,11,4,134,5389,5,3750,506,1264,8,Enero,2019.0
Estación Villa Sierra (Metrocable),3368,577,87,0,0,2168,516,772,388,28,160,144,3834,54,2230,689,1086,27,Enero,2019.0
Exteriores Ludoteca Casa San Martín,2411,512,2,0,0,1500,451,751,179,9,35,87,2794,44,1486,576,817,46,Enero,2019.0
Fuerte de Carabineros,139,2,1,0,1,77,0,47,19,0,0,1,142,0,75,35,33,0,Enero,2019.0
Hospital General De Medellín,6329,703,11,0,1,3617,248,1701,1307,142,29,31,6994,19,3268,2086,1672,18,Enero,2019.0
Hospital Infantil Concejo De Medellín,3633,268,1,0,27,1486,142,1576,636,19,70,9,3897,23,1451,1742,722,14,Enero,2019.0
Inspección 10B,691,121,0,0,0,288,13,151,351,8,1,1,809,2,183,348,281,0,Enero,2019.0
Inspección 9B,1044,83,0,0,0,223,8,249,594,52,1,23,1061,43,151,499,472,5,Enero,2019.0
Inspección N°6 Doce De Octubre,928,20,1,0,0,362,39,119,334,52,43,0,948,1,423,288,238,0,Enero,2019.0
Institución Educativa Pascual Bravo (Robledo),956,51,0,0,0,626,123,155,43,38,22,76,931,0,723,52,232,0,Enero,2019.0
Jardín Botánico,3217,215,7,0,1,1901,151,863,462,42,21,20,3408,12,1888,750,759,43,Enero,2019.0
La Cruz,2505,457,0,0,0,1436,396,762,250,24,94,8,2933,21,1474,658,813,17,Enero,2019.0
La Esperanza,1547,170,0,0,0,730,114,586,136,95,56,8,1705,4,738,565,406,8,Enero,2019.0
La Honda,2983,859,0,0,0,2169,360,1033,209,28,43,99,3703,40,1846,1038,947,11,Enero,2019.0
Mall Laureles,1977,236,0,0,0,1291,68,420,318,101,15,50,2106,57,1145,609,453,6,Enero,2019.0
Mascerca Belén,1183,23,0,0,0,530,15,444,184,30,3,32,1174,0,539,478,188,1,Enero,2019.0
Mascerca Castilla,971,17,0,0,0,377,24,187,384,15,1,5,983,0,392,327,268,1,Enero,2019.0
Mascerca Floresta,1096,57,0,0,0,543,19,347,220,23,1,18,1132,3,533,228,390,2,Enero,2019.0
Mascerca Guayabal,516,88,0,0,0,335,25,65,173,6,0,12,591,1,272,147,185,0,Enero,2019.0
Mascerca Poblado,1642,166,0,0,0,694,68,516,474,55,1,6,1800,2,602,402,803,1,Enero,2019.0
Museo Cementerio San Pedro,68,11,0,0,0,46,1,14,18,0,0,0,79,0,36,3,40,0,Enero,2019.0
Parque 4 Vientos (Los Colores),2473,344,10,0,3,1685,90,626,400,24,5,16,2802,12,1446,221,1125,38,Enero,2019.0
Parque Amisura,1026,276,52,0,2,914,13,266,144,16,3,28,1328,0,642,188,521,5,Enero,2019.0
Parque Aranjuez,11709,1543,15,0,6,9236,307,2382,1207,114,27,26,13196,51,8211,1217,3734,111,Enero,2019.0
Parque Arví - Centro Ambiental Y Cultural Parque Arví,911,25,0,1,0,441,60,186,233,8,9,13,917,7,495,186,242,14,Enero,2019.0
Parque Belén,7782,484,36,0,7,5285,110,1406,1177,312,19,7,8230,72,4989,1015,2292,13,Enero,2019.0
Parque Berrío,3654,304,3,0,0,2554,67,781,450,107,2,147,3797,17,2374,491,1086,10,Enero,2019.0
Parque Bicentenario,4260,800,4,0,2,3210,88,1332,400,22,14,4,5036,26,2599,539,1895,33,Enero,2019.0
Parque Bolívar,7397,468,2,0,32,4511,73,1833,1324,147,11,37,7747,115,4171,968,2738,22,Enero,2019.0
Parque Campo Alegre (La Jota),1554,74,0,0,1,895,62,396,220,55,1,10,1614,5,898,251,461,19,Enero,2019.0
Parque Cancha Grande San Joaquín,1714,127,11,0,30,1135,44,333,266,92,12,46,1834,2,1080,189,540,73,Enero,2019.0
Parque Cerro El Cristo Salvador,3526,476,0,0,0,2294,129,1092,417,66,4,0,3955,47,1962,300,1626,114,Enero,2019.0
Parque De Boston,5721,378,17,0,1,3803,145,1069,860,220,20,11,6094,12,3638,818,1637,24,Enero,2019.0
Parque De Cristo Rey,5409,865,0,0,1,4256,183,1016,651,154,15,56,6185,34,3673,803,1783,16,Enero,2019.0
Parque De Guadalupe,7892,1501,8,0,0,6171,696,1744,704,35,51,11,9304,86,5508,1279,2601,13,Enero,2019.0
Parque De La Pilarica,552,67,0,0,1,373,24,127,87,8,1,1,618,1,332,63,223,2,Enero,2019.0
Parque De La Vida - Los Colores,512,151,0,0,1,453,22,147,19,17,6,3,658,3,333,123,207,1,Enero,2019.0
Parque De Los Deseos,8887,564,6,1,12,6108,289,2037,885,93,58,51,9382,37,6019,1429,1980,42,Enero,2019.0
Parque De Los Pies Descalzos,3231,117,0,0,0,1725,134,802,610,69,8,138,3200,10,1781,671,887,9,Enero,2019.0
Parque De Robledo,3272,251,5,0,6,2368,166,671,296,20,13,14,3494,26,2328,428,773,5,Enero,2019.0
Parque Del Ajedrez,1596,117,4,0,1,1075,53,392,166,22,10,2,1708,8,1026,188,492,12,Enero,2019.0
Parque Del Periodista,3852,656,0,0,3,3088,55,758,588,19,3,6,4491,14,2527,450,1518,16,Enero,2019.0
Parque Deportivo Y Recreativo La Tinajita,4746,675,0,0,0,3516,265,1060,538,19,23,16,5362,43,3181,719,1516,5,Enero,2019.0
Parque El Emperador,1609,258,0,0,5,1013,11,334,280,223,11,116,1751,5,790,314,758,10,Enero,2019.0
Parque El Triángulo,1460,264,1,0,14,893,40,587,212,5,2,8,1719,12,706,81,932,20,Enero,2019.0
Parque Explora,8739,1362,4,1,52,6221,286,2336,1167,106,42,75,10040,43,5345,2064,2700,49,Enero,2019.0
Parque Florencia,2312,325,29,0,1,1891,136,345,248,20,27,0,2657,10,1774,246,641,6,Enero,2019.0
Parque Gaitán,6095,561,1,0,4,4100,423,1174,803,101,60,36,6609,16,4071,927,1643,20,Enero,2019.0
Parque Juanes De La Paz,3909,579,2,0,78,2804,231,968,445,83,37,115,4443,10,2561,488,1496,23,Enero,2019.0
Parque Kennedy,3185,466,35,0,2,2362,146,981,169,24,6,0,3653,35,2081,386,1218,3,Enero,2019.0
Parque la Batea del barrio Villatina,1151,152,0,0,0,674,67,377,141,39,5,1,1265,37,614,292,394,3,Enero,2019.0
Parque la Candelaria,3921,415,0,0,0,2652,232,953,353,22,124,17,4244,75,2647,539,1134,16,Enero,2019.0
Parque La Castellana,1242,219,0,0,0,763,21,374,235,58,10,28,1416,17,603,270,528,60,Enero,2019.0
Parque La Matea,1957,179,0,0,1,1462,23,411,195,43,3,10,2110,17,1318,120,693,6,Enero,2019.0
Parque La Milagrosa,5286,651,4,0,9,3784,391,966,653,127,29,5,5925,20,3622,667,1653,8,Enero,2019.0
Parque Lineal La Herrera Santo Domingo,1933,353,0,0,0,1086,295,635,181,50,39,51,2222,13,1093,370,801,22,Enero,2019.0
Parque Lleras,6685,451,3,0,6,4419,86,1602,921,101,16,16,7097,32,4169,963,1971,42,Enero,2019.0
Parque Los Mangos,631,51,0,0,0,474,5,115,85,3,0,2,680,0,433,36,211,2,Enero,2019.0
Parque los Tanques,773,100,0,0,0,568,7,219,76,3,0,2,871,0,481,104,286,2,Enero,2019.0
Parque Lourdes,1185,147,0,0,1,727,19,311,194,75,7,41,1292,0,609,296,424,4,Enero,2019.0
Parque Manzanares,1214,48,0,0,0,711,67,284,183,12,5,2,1253,7,742,195,313,12,Enero,2019.0
Parque Norte,2443,112,4,0,0,1282,120,703,412,33,9,9,2546,4,1311,578,662,8,Enero,2019.0
Parque Pablo VI,1804,628,0,0,0,1524,155,440,295,2,16,9,2372,51,1122,432,875,3,Enero,2019.0
Parque Pinocho,1451,359,0,0,24,1218,36,325,212,26,17,24,1808,2,968,86,777,3,Enero,2019.0
Parque Plan Parcial Invatex,1260,61,3,0,2,771,41,319,174,19,2,1,1323,2,767,178,376,5,Enero,2019.0
Parque Principal Belén los Alpes,4409,362,1,0,10,2855,161,1114,533,106,13,2,4732,48,2686,542,1541,13,Enero,2019.0
Parque Principal Campo Valdés,9494,1335,42,0,31,7201,529,2260,720,169,23,6,10839,57,6577,1170,3065,90,Enero,2019.0
Parque Principal Villa Hermosa,8099,398,19,33,13,5097,435,1723,1167,66,74,9,8410,143,5243,1118,2169,32,Enero,2019.0
Parque Recreativo Barrio Jesús,2246,400,0,0,4,1610,229,587,198,17,9,78,2502,70,1480,359,807,4,Enero,2019.0
Parque San Antonio,9263,721,1,0,5,7211,148,1608,938,74,11,5,9952,33,6701,1121,2146,22,Enero,2019.0
Parque San Antonio de Prado,8954,383,11,1,0,8796,32,295,197,28,1,50,9244,55,6175,1027,2130,17,Enero,2019.0
Parque Suramericana Alta,1829,87,0,0,0,1237,83,260,293,28,15,8,1896,12,1267,278,367,4,Enero,2019.0
Parque Unicentro,959,58,0,0,0,730,7,133,109,37,1,3,1012,2,686,95,235,1,Enero,2019.0
Perpetuo Socorro,581,53,0,0,1,376,22,73,149,13,2,4,631,0,374,52,205,4,Enero,2019.0
Pista De Atletismo Alfonso Galvis,2418,147,0,0,4,1328,164,653,342,57,25,12,2547,10,1382,392,789,6,Enero,2019.0
Pista De Bicicrós Antonio Roldán Betancur,779,92,0,0,0,404,88,164,189,8,18,13,856,2,420,140,308,3,Enero,2019.0
Pista de BMX Mariana Pajón,279,161,0,0,0,273,31,67,61,8,0,7,433,0,156,46,238,0,Enero,2019.0
Pista De Patinaje Francisco Antonio Zea,3707,562,9,0,14,2680,190,858,493,45,26,12,4211,69,2354,856,1075,7,Enero,2019.0
Placa Cubierta La Sierra,1312,296,9,0,0,732,223,437,205,10,10,6,1588,23,673,493,447,4,Enero,2019.0
Placa De Arenilla Aguas Frías,2181,361,0,0,0,1112,273,699,231,90,137,80,2435,27,1195,416,884,47,Enero,2019.0
Placa Polideportiva La Cristóbal,1696,186,2,0,0,902,114,286,536,23,23,33,1846,5,882,429,568,5,Enero,2019.0
Placa Polideportiva Los Tanques,1431,696,95,0,0,1242,174,541,98,6,161,55,2130,37,902,339,975,6,Enero,2019.0
Placa Polideportiva Metropolitano,1486,73,0,0,0,424,200,611,108,154,62,2,1553,4,614,245,693,7,Enero,2019.0
Placa Polideportiva Trinidad,2020,142,16,0,0,1092,103,788,147,37,11,10,2114,54,1150,200,817,11,Enero,2019.0
Plaza Botero,4124,266,0,1,4,2725,60,892,634,71,13,15,4366,14,2564,630,1196,5,Enero,2019.0
Plaza Gardel - Aeropuerto Olaya Herrera,454,32,1,0,0,308,9,127,34,8,1,11,472,4,287,57,141,2,Enero,2019.0
Plaza Mayor - Plazoleta Interamericana,960,73,1,0,0,630,7,220,165,12,0,11,1016,7,605,111,317,1,Enero,2019.0
Plazoleta De Banderas,5820,648,49,1,5,3784,269,1547,833,55,35,44,6453,26,3452,1209,1819,43,Enero,2019.0
Plazoleta De Cisneros,3540,168,0,0,4,2596,28,592,459,34,3,10,3681,21,2488,354,866,4,Enero,2019.0
Plazoleta Del MAMM,1227,68,1,0,1,913,14,204,152,12,2,15,1282,0,873,122,290,12,Enero,2019.0
Plazoleta Entre IE Antonio Derka y La IE Santo Domingo Savio,3722,546,6,0,3,2841,440,755,205,8,28,110,4109,58,2807,531,934,5,Enero,2019.0
Plazoleta Estación Industriales (Metro),5287,281,2,0,0,3755,57,998,697,50,13,29,5521,20,3607,627,1318,18,Enero,2019.0
Plazoleta Estación Industriales (Metroplús),6324,304,15,0,1,5182,47,877,510,26,2,89,6538,17,5012,522,1106,4,Enero,2019.0
Plazoleta Estación La Aurora (Metrocable),4106,676,12,0,1,2824,395,1090,400,58,28,15,4741,39,2618,687,1453,37,Enero,2019.0
Plazoleta Estación Poblado (Metro),5690,581,8,0,3,4877,101,824,384,92,4,46,6163,73,4429,790,1057,6,Enero,2019.0
Plazoleta Estación Popular 1 (Metrocable),4786,923,9,0,0,3703,412,1208,331,16,48,71,5599,48,3287,830,1598,3,Enero,2019.0
Plazoleta Estación Santo Domingo (Metrocable),4173,396,6,0,0,3063,201,905,328,53,25,30,4522,23,2957,533,1066,19,Enero,2019.0
Plazoleta La Alpujarra,2855,158,2,0,0,1945,34,492,480,55,9,5,3002,8,1856,404,742,13,Enero,2019.0
Plazuela Carlos E. Restrepo,4420,519,4,0,10,3114,83,1136,599,17,4,10,4912,31,2733,510,1637,73,Enero,2019.0
Plazuela San Ignacio,8764,778,6,0,3,5913,153,1775,1546,147,17,14,9448,89,5398,1442,2691,20,Enero,2019.0
Polideportivo Blanquizal,3196,305,0,0,14,1710,297,859,524,29,96,113,3377,25,1824,794,894,3,Enero,2019.0
Por Dis Derechos - Por Una Vida Más Digna (Oficina La Candelaria),768,110,1,0,1,481,21,217,156,3,2,81,797,2,401,245,234,0,Enero,2019.0
Primer Parque De Laureles,3234,291,9,0,7,2290,48,825,320,52,6,16,3514,11,2102,371,1048,20,Enero,2019.0
Registraduría (Torres De Bomboná),2095,53,0,0,1,1058,108,476,416,85,6,2,2114,33,1134,555,453,7,Enero,2019.0
Secretaría De Movilidad (Oficina Castilla),7225,584,40,0,1,4147,120,1819,1535,223,6,30,7808,12,3755,1915,2169,11,Enero,2019.0
Teatro Al Aire Libre Y Parque El Pedregal,3763,361,0,0,0,1943,630,851,514,161,25,177,3864,83,2291,577,1173,83,Enero,2019.0
Telecentro San Joaquín,321,21,0,0,0,139,14,51,125,8,5,0,329,13,138,133,68,3,Enero,2019.0
Terminal Del Norte,28020,966,11,0,5,17289,1072,6745,3401,369,126,222,28588,192,17784,4768,6384,66,Enero,2019.0
Terminal Del Sur,15514,394,9,3,70,9449,542,3496,2116,314,73,88,15802,100,9783,2742,3421,44,Enero,2019.0
Tesorería Municipal (Oficina CAM),1746,366,18,0,1,1177,23,436,389,105,1,8,2120,3,892,719,506,14,Enero,2019.0
Tiro Con Arco  Unidad Deportiva Andres Escobar,2006,160,1,0,0,1151,184,460,296,63,13,3,2162,2,1200,208,750,9,Enero,2019.0
Unidad Deportiva Alejandro Echavarría,4264,434,1,0,4,2332,543,1367,403,16,42,6,4679,18,2532,504,1591,76,Enero,2019.0
Unidad Deportiva Antonio Nariño,4931,524,4,0,1,3274,414,1139,526,77,30,19,5382,59,3244,773,1425,18,Enero,2019.0
Unidad Deportiva Barrio Cristóbal,1647,295,0,0,0,1143,106,454,219,9,11,13,1912,17,996,250,663,33,Enero,2019.0
Unidad Deportiva Campo Amor,4160,322,17,0,7,2509,322,933,667,55,20,13,4481,12,2556,482,1460,8,Enero,2019.0
Unidad Deportiva Doce De Octubre,3524,360,1,0,1,2497,254,814,285,10,26,11,3866,9,2467,423,987,9,Enero,2019.0
Unidad Deportiva El Raizal,4942,756,1,0,0,3607,279,1223,557,15,18,53,5596,50,3247,611,1830,11,Enero,2019.0
Unidad Deportiva Granizal,3944,880,4,0,0,2922,484,981,313,56,72,285,4523,20,2705,634,1462,27,Enero,2019.0
Unidad Deportiva José René Higuita,5228,378,3,0,1,3112,434,1428,497,107,32,63,5536,11,3219,772,1586,33,Enero,2019.0
Unidad Deportiva Maria Luisa Calle,1539,105,19,0,2,965,91,375,216,11,7,7,1654,4,973,237,438,17,Enero,2019.0
Unidad Deportiva Miraflores,4827,682,27,0,1,3107,335,1320,606,138,31,77,5442,18,2805,525,2148,59,Enero,2019.0
Unidad Deportiva San Blas,4326,573,1,0,0,2899,248,1059,619,53,22,2,4858,40,2634,509,1736,21,Enero,2019.0
Unidad Deportiva Tricentenario,3312,505,0,0,6,1796,201,1210,533,39,44,56,3767,0,1577,803,1381,62,Enero,2019.0
Unidad Integral N°6,607,19,0,0,0,277,3,91,179,36,40,7,619,0,303,150,173,0,Enero,2019.0
Unidad Permanente de Justicia (UPJ),3009,142,2,0,0,1528,91,797,600,123,14,135,3008,10,1521,870,743,19,Enero,2019.0
Upss Belén,4118,551,0,0,0,2458,109,1153,775,161,13,28,4621,20,2131,1600,917,21,Enero,2019.0
Upss Castilla,4924,729,35,0,0,2744,243,1340,1167,182,12,57,5620,11,2324,2381,977,6,Enero,2019.0
Upss Doce De Octubre,2949,209,5,0,0,1488,129,739,732,65,10,3,3150,10,1446,1324,389,4,Enero,2019.0
Upss Manrique,6608,823,1,0,1,3334,280,2297,1379,128,15,34,7367,32,2970,2935,1512,16,Enero,2019.0
Upss Nuevo Occidente,4127,726,0,0,99,2452,199,1039,1085,158,19,122,4773,57,2094,1706,1077,75,Enero,2019.0
Upss San Cristóbal,4188,417,1,0,0,2098,167,1540,672,60,69,42,4544,20,1984,1733,879,10,Enero,2019.0
Upss San Javier,3714,212,0,0,0,1954,211,987,702,60,12,6,3912,8,2008,1377,535,6,Enero,2019.0
Upss Santa Cruz,4051,556,0,0,8,2269,188,1171,830,135,22,2,4604,9,2053,1868,687,7,Enero,2019.0
"\Velódromo Martín \""\""Cochise\""\"" Rodríguez\""""",480,33,1,0,0,321,17,115,56,5,0,11,503,0,306,83,124,1,Enero,2019.0
Viaducto Tramo Dos,828,135,0,0,1,573,79,218,80,10,4,3,955,6,532,198,232,2,Enero,2019.0
Aeroparque Juan Pablo Segundo,1235,622,5,0,1,1094,66,349,272,70,12,4,1856,3,674,552,626,11,Febrero,2019.0
Ampliación Estación Estadio,2150,281,0,0,0,1115,173,903,186,20,34,66,2341,24,1075,564,789,3,Febrero,2019.0
Ampliación La Honda,570,32,0,0,0,334,10,195,57,5,1,0,599,3,318,118,164,2,Febrero,2019.0
Ampliación Museo Cementerio San Pedro,616,35,0,0,1,393,15,150,89,2,3,1,651,0,381,42,225,4,Febrero,2019.0
